iter	RMSE
0	13388.33572
1	7344.624776
2	4481.684114
3	3289.737246
4	2757.972235
5	2524.337329
6	2374.460166
7	2291.718134
8	2156.968775
9	2112.602319
10	2038.318765
11	1962.986563
12	1905.039373
13	1872.224027
14	1836.467137
15	1797.021123
16	1748.143019
17	1719.341727
18	1706.981311
19	1664.909584
20	1641.391668
21	1612.236001
22	1598.888298
23	1561.122863
24	1547.121602
25	1534.842913
26	1528.40106
27	1518.353319
28	1504.822769
29	1480.279268
30	1457.439965
31	1449.600318
32	1440.717189
33	1433.914283
34	1415.550868
35	1394.450346
36	1335.32897
37	1330.708009
38	1322.670367
39	1319.589473
40	1308.302419
41	1304.29544
42	1289.043098
43	1285.693933
44	1282.281779
45	1278.186672
46	1273.361146
47	1262.415327
48	1239.073333
49	1227.687259
