iter	Passed	Remaining
0	11	552
1	22	547
2	33	526
3	44	513
4	55	503
5	67	495
6	78	482
7	90	473
8	101	461
9	112	449
10	122	434
11	133	424
12	144	412
13	156	402
14	167	389
15	177	377
16	188	366
17	200	357
18	212	347
19	223	335
20	234	324
21	245	311
22	256	300
23	267	290
24	279	279
25	292	269
26	303	258
27	315	248
28	326	236
29	337	225
30	349	214
31	361	203
32	372	191
33	383	180
34	394	168
35	405	157
36	416	146
37	427	135
38	438	123
39	449	112
40	460	101
41	472	89
42	484	78
43	496	67
44	508	56
45	519	45
46	530	33
47	541	22
48	552	11
49	563	0
